#BEGIN NODES
#COMMENT Structure: node_number, x, y, z, TC
#COMMENT TC is the Young´s moduli at the nodes for method C.
1,      64.0923,     112.3103,    1634.8495,   12766.2239
2,      50.7420,     127.4699,    1639.5344,   19200.6040
3,      57.7600,     105.6228,    1650.2566,    9230.4100
4,      70.1525,     124.7538,    1657.8281,    9084.1174
5,      64.3988,     135.7127,    1645.1482,    6923.8777
6,      69.6940,     139.3674,    1591.7542,   14834.8381
7,      89.8299,     139.5139,    1656.5582,    7975.1632
8,      87.9994,     131.3347,    1623.4233,   15477.8438
9,      72.9283,     118.9326,    1643.3110,    1340.7805
10,      22.1685,     102.1953,    1666.8975,    2340.1879
11,      51.0425,     109.7112,    1666.9453,    3256.1236
12,      43.7693,     140.8776,    1612.8285,   11959.1796
13,      63.7860,     135.1442,    1582.5594,   16954.9149
14,      81.4098,     131.8222,    1594.8429,   19556.4533
15,      68.1391,     117.3063,    1604.6702,   18580.4428
16,      78.4367,     119.3094,    1631.1522,   15681.6705
17,      82.6951,     136.2930,    1608.7368,   21228.3453
18,      78.6089,     148.7040,    1647.3417,   11856.6656
19,      68.3795,     116.7874,    1594.2147,   20023.4847
20,      68.3382,     128.3654,    1593.5010,      60.3958
21,      63.4831,     145.7613,    1620.8339,   14059.8460
22,      92.7935,     140.7045,    1639.8123,    8736.1845
23,      75.5686,     109.9940,    1649.9111,    4908.3202
24,      69.1193,     130.0350,    1623.0273,     438.8820
25,      48.2262,     128.9227,    1614.4199,   13732.5410
26,      75.5292,     116.1979,    1635.9208,   16455.9162
27,      73.3222,     126.7078,    1642.1036,    1849.4740
28,      59.4839,     140.2983,    1599.8558,   17084.2143
29,      72.0169,     142.7556,    1592.8993,   18380.2139
30,      94.4790,     128.3385,    1634.3192,   10859.6015
31,      64.4743,     126.8821,    1635.4708,    2026.2052
32,      82.5548,     135.4336,    1632.6265,     887.7326
33,      76.2477,     120.8688,    1600.6167,   20322.3390
34,      87.7083,     122.2597,    1661.3955,    5402.4630
35,      59.5282,     129.1245,    1653.8992,   11364.4467
36,      81.0285,     130.0876,    1649.5916,     491.0041
37,      54.0077,     133.6046,    1631.7905,   16114.9159
38,      79.0039,     134.7169,    1669.0900,    5802.8082
39,      71.1314,     131.1132,    1650.4088,   10334.9763
40,      55.8288,     129.8844,    1591.7642,   20068.3842
41,      68.3546,     111.1208,    1643.6542,   10411.3269
42,      60.8630,     115.3505,    1611.3168,   14915.5224
43,      59.3496,     143.1487,    1610.9187,   14233.6864
44,      46.9079,     109.1844,    1684.6124,    2874.4546
45,      23.2040,     100.8732,    1655.0964,    4290.1754
46,      39.0529,     109.8079,    1645.1915,    7540.8033
47,      56.9804,     101.6427,    1672.7629,    2817.3878
48,      32.8415,     127.2284,    1675.8041,    8160.7345
49,      43.4561,      90.7847,    1657.6351,    2631.6869
50,      31.8106,     100.4299,    1681.5173,    4219.8676
51,      21.1312,     113.0520,    1671.1299,    5658.1081
52,      52.9259,     122.1747,    1672.8273,    2210.6167
53,      24.7364,     123.1825,    1655.8914,    3432.0422
54,      79.3553,     137.0649,    1591.1748,   19825.1397
55,      45.3811,     129.6418,    1660.4740,    4381.5118
56,      40.2793,     108.9092,    1665.3472,    5854.2022
57,      32.9416,     114.7936,    1684.5294,    4558.2835
58,      43.9739,      92.2247,    1673.6583,    5313.2207
59,      61.2463,     114.3431,    1662.3978,   10473.2485
60,      56.0407,     100.7061,    1655.2692,    9959.5835
61,      28.6585,      92.7994,    1666.6467,    3699.3921
62,      74.7776,     124.1491,    1582.5516,   17165.8247
63,      39.6914,     122.0489,    1651.7065,   11448.6322
64,      38.5438,     126.8463,    1667.9929,    1727.1319
65,      56.1062,     136.6877,    1603.9309,    3166.8127
66,      43.5522,     122.6448,    1681.4948,    5583.7182
67,      34.5311,      96.9489,    1649.1621,    3607.4053
68,      33.6220,     129.8065,    1657.5568,    3788.4491
69,      25.8732,     112.2617,    1648.2324,    6100.2204
70,      76.3360,     120.9384,    1591.3286,   18750.3736
71,      93.9368,     129.1265,    1648.1544,    9288.7751
72,      78.0348,     144.7224,    1618.1343,   15825.3598
73,      52.7550,      93.9916,    1665.0088,    3681.6119
74,      19.6979,     111.6461,    1659.3822,    1702.6512
75,      24.1469,     124.8943,    1667.6106,    6560.1171
76,      66.3486,     147.3215,    1640.5576,    8687.1508
77,      58.5602,     116.5296,    1599.3206,   18302.0730
78,      68.4692,     117.2037,    1622.6343,   17904.0864
79,      60.7703,     105.8567,    1657.9086,   15026.2598
80,      83.5049,     147.6074,    1637.8459,   11230.8973
81,      38.0049,     121.1628,    1665.2023,    3366.6147
82,      55.3815,     113.0493,    1678.2375,    1548.9751
83,      52.5319,     120.9604,    1616.5586,   16241.9049
84,      45.0540,     103.0375,    1657.1556,    3797.7889
85,      29.9809,     114.4448,    1664.0232,    4510.8859
86,      62.0197,     121.3473,    1582.5500,   12509.4866
87,      41.7856,      99.8209,    1682.2737,    4732.2677
88,      61.7986,     140.5482,    1637.7644,   10098.9058
89,      59.7219,     132.0594,    1614.9684,     918.6276
90,      56.7012,     123.1610,    1662.2415,    7440.3152
91,      33.7462,     106.7460,    1656.0815,    1175.1507
92,      78.4982,     140.2109,    1619.0768,    1772.0780
93,      63.5513,     107.8688,    1654.3295,   12127.5820
94,      86.6664,     144.2486,    1627.3776,   10467.4159
95,      62.2951,     121.3980,    1645.9031,     758.5502
96,      25.3831,     109.0634,    1680.6627,    4321.8408
97,      79.1211,     127.1156,    1663.1765,   13747.8001
98,      83.0087,     126.0884,    1615.7671,   18811.8583
99,      37.0535,     107.1553,    1685.2391,    4378.3292
100,      39.4848,      89.6943,    1665.7054,    4915.8651
101,      79.0738,     116.0845,    1657.6051,    3096.0804
102,      25.7674,     120.0308,    1677.5677,    6510.2085
103,      38.0660,     117.9204,    1653.1016,    4105.2483
104,      39.4340,     113.5908,    1675.5925,    3063.1880
105,      34.4100,      93.4272,    1675.5266,    4657.8369
106,      87.6321,     145.1405,    1647.0526,   13067.0315
107,      26.0615,      97.7509,    1673.9768,    3366.8830
108,      78.0298,     135.8761,    1625.7754,    1091.6322
109,      78.0566,     140.1521,    1601.1857,   18360.4865
110,      66.5546,     116.8330,    1615.4918,   18266.3764
111,      69.2286,     137.4312,    1631.9152,    2097.9881
112,      49.1771,     136.2697,    1603.4115,    7641.5901
113,      79.0091,     136.4917,    1585.0767,   20542.4056
114,      72.8792,     135.1772,    1614.3073,     365.0903
115,      69.2460,     143.6126,    1653.2920,   17039.3332
116,      60.9891,     144.8710,    1629.1577,    6981.6327
117,      78.4404,     120.8966,    1621.7782,   18161.3849
118,      35.0537,     130.8397,    1667.3633,    4553.6740
119,      50.1146,      98.0895,    1677.8700,    3319.6841
120,      80.1928,     147.4838,    1659.1968,    8432.0960
121,      52.3461,     116.9497,    1647.0593,    2992.9239
122,      32.3179,     106.6966,    1672.3668,    1590.6355
123,      36.1032,      99.5521,    1663.4346,    1896.2446
124,      32.1836,      92.0078,    1656.6959,    3201.2617
125,      87.9250,     133.2824,    1664.2611,    6719.4717
126,      85.3135,     138.4353,    1619.2194,   19685.2679
127,      45.5233,     101.0899,    1668.4210,    1212.1942
128,      44.1664,     120.5790,    1643.4811,   20231.3943
129,      86.8166,     122.8498,    1634.2244,   12367.3759
130,      82.4490,     147.3588,    1653.8008,    9986.1414
131,      49.6735,     127.6311,    1654.7509,   14447.4651
132,      71.2406,     139.2074,    1649.0188,    5996.8723
133,      66.8918,     128.3508,    1582.5500,     185.1267
134,      87.6192,     132.4764,    1641.2817,     882.8219
135,      47.5951,     119.0066,    1663.6873,    3405.2071
136,      66.9901,     143.0054,    1641.0845,    2161.0012
137,      49.2006,      96.8829,    1651.3334,    3137.6177
138,      54.2518,     120.1482,    1608.5972,   18942.2708
139,      24.0144,     104.0804,    1660.8550,    1125.9451
140,      80.7488,     139.4103,    1644.2998,     441.0028
141,      32.3852,     123.2235,    1653.0602,    4567.5572
142,      28.0432,     102.9380,    1648.6490,    4460.9885
143,      52.5722,     106.0598,    1680.6038,    2341.0806
144,      68.8836,     115.4370,    1658.4933,    7358.8209
145,      53.6006,     107.4297,    1644.8921,   10212.5779
146,      72.6156,     127.2423,    1631.7223,    2854.7631
147,      78.9360,     138.7401,    1655.1772,    1321.0579
148,      62.7811,     125.6723,    1599.4475,     703.1533
149,      67.5314,     126.7382,    1614.7928,     744.2242
150,      76.8040,     149.0359,    1637.6102,    8875.1846
151,      86.0557,     118.2758,    1652.5751,    7640.6752
152,      67.1078,     142.4834,    1600.0696,   16744.6165
153,      63.2186,     140.0379,    1591.4401,   18699.3611
154,      56.1961,     121.2897,    1634.9539,    1572.0991
155,      91.5054,     129.0931,    1657.0806,    6844.2504
156,      70.7312,     115.6729,    1631.8258,   17540.5515
157,      56.0392,     119.7225,    1590.9271,   19250.5902
158,      92.7529,     136.9196,    1629.9580,   10348.1964
159,      62.3080,     136.6325,    1621.9856,    1744.1515
160,      77.7420,     143.6281,    1613.6021,   17826.6918
161,      88.2363,     131.3384,    1635.2428,    1774.9763
162,      59.3116,     131.7255,    1644.9314,   14168.1769
163,      55.1596,     143.3058,    1621.8827,    9722.6488
164,      59.9735,     104.7889,    1663.2584,    8551.5578
165,      70.3223,     136.0777,    1589.4891,    1321.4625
166,      33.2459,     110.1901,    1657.9143,    2569.4400
167,      50.5713,     142.3207,    1609.3964,    9790.2197
168,      57.0022,     129.1158,    1611.0508,    6181.7339
169,      43.2877,     120.3249,    1672.1467,    1132.4435
170,      84.4842,     123.9554,    1626.3625,   17975.7319
171,      71.6863,     139.9988,    1641.3011,     426.4301
172,      44.4017,     104.5153,    1650.6658,    4859.4797
173,      70.6489,     113.0106,    1638.3671,   11435.2564
174,      72.1519,     146.4716,    1621.8778,   11952.7533
175,      74.1562,     132.4480,    1599.2987,     498.5950
176,      81.0981,     122.6012,    1657.8124,    1435.8352
177,      33.0265,     117.7304,    1671.6171,    4592.8899
178,      38.6483,     100.7599,    1674.1681,    3271.9822
179,      42.7870,      96.0715,    1649.0966,    4101.3861
180,      72.9399,     119.1038,    1605.6158,   18024.1387
181,      77.3767,     126.0230,    1603.9552,   17787.2442
182,      90.0079,     126.7391,    1630.2297,   13846.4254
183,      79.1109,     123.6253,    1606.8975,   20092.8258
184,      21.9034,     115.9568,    1654.2957,    4914.6549
185,      61.6040,     124.6776,    1609.2310,    1668.2007
186,      84.0586,     119.4911,    1640.6366,   11819.6531
187,      81.4678,     148.2555,    1630.7306,    5916.2331
188,      26.0442,     126.1191,    1658.4945,    4236.6905
189,      57.1750,     103.7625,    1674.7522,    2409.1781
190,      81.6194,     128.5154,    1631.8334,    1863.8998
191,      88.7791,     144.3038,    1634.5771,    9967.5763
192,      84.7049,     140.8244,    1664.4491,    8669.3773
193,      42.4069,     137.2290,    1615.6846,   12240.0584
194,      77.3133,     128.1078,    1621.3951,    2293.0354
195,      50.0259,     117.6320,    1682.1584,    2688.7807
196,      29.9452,     105.4654,    1662.3827,    1236.1592
197,      84.7180,     136.4322,    1630.1428,    1312.6585
198,      54.4441,     132.0635,    1635.5887,   15093.6491
199,      87.8615,     144.0036,    1653.6340,    9815.6734
200,      70.8100,     141.0410,    1582.8960,   18025.4434
201,      72.1799,     124.3143,    1619.2129,    2235.8819
202,      50.1667,     110.2694,    1640.1489,   16943.9042
203,      53.8336,     143.4208,    1615.6210,   10613.8920
204,      73.6448,     114.0883,    1647.2200,    2782.5164
205,      40.3190,     102.5498,    1645.0137,    2777.4967
206,      33.6106,     122.3187,    1663.2216,    3836.2342
207,      59.4500,     109.4648,    1670.9170,    3459.7540
208,      40.2631,     113.5657,    1660.2443,    5703.8094
209,      60.6638,     121.3659,    1617.4497,    2430.3259
210,      93.2424,     138.7309,    1646.6697,   10878.6262
211,      76.6886,     122.1249,    1645.1974,    1914.6723
212,      81.2705,     130.3425,    1587.0623,   21219.7284
213,      41.5362,     109.4193,    1653.2023,    5115.7056
214,      27.3136,     107.1423,    1656.9575,     832.0998
215,      68.8327,     138.2054,    1627.4600,    1345.1553
216,      61.8461,     131.6011,    1629.6670,    3595.2158
217,      80.5111,     141.1922,    1629.0774,    1170.9854
218,      63.5569,     130.6548,    1610.7527,    1084.2911
219,      82.1376,     126.8286,    1642.3499,    2428.6430
220,      70.6402,     117.1766,    1584.9833,   19698.2582
221,      55.0195,     125.0643,    1584.8761,   19631.2351
222,      81.4983,     134.8223,    1600.7753,   20062.6748
223,      26.0289,      95.3816,    1659.4569,    4301.2784
224,      68.9560,     120.6579,    1627.4487,    1439.3928
225,      63.4389,     113.3153,    1627.7233,   15092.8694
226,      68.4721,     141.6124,    1662.2949,    9176.5150
227,      68.2705,     132.4820,    1638.9808,    3523.5385
228,      69.4342,     138.5743,    1621.2147,    1358.0961
229,      91.6096,     123.7652,    1650.1254,    6878.6059
230,      78.4959,     142.8945,    1634.5371,     611.4771
231,      65.6092,     134.7527,    1593.1155,    1053.1068
232,      50.4890,     125.0165,    1618.9073,   17490.6262
233,      34.3764,     122.6638,    1680.7286,    6252.9896
234,      73.9355,     119.4883,    1595.8228,   19187.6102
235,      70.2798,     117.9344,    1597.6442,   18655.7255
236,      85.8245,     137.3038,    1650.4673,    1026.3992
237,      53.9254,      96.4275,    1671.6689,    2938.3488
238,      38.4734,      92.5183,    1653.3715,    2940.5098
239,      54.4159,     132.3405,    1598.2783,   19829.6581
